timestamp,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5
2023-02-03 11:15:02,50352.00,50192.00,50768.00,50848.00,49856.00
2023-02-03 11:15:09,50272.00,50224.00,50992.00,50816.00,49920.00
2023-02-03 11:15:17,50320.00,50368.00,51024.00,50864.00,50624.00
2023-02-03 11:15:24,50336.00,50160.00,50992.00,50848.00,49888.00
2023-02-03 11:15:31,50304.00,50208.00,50784.00,50880.00,49936.00
2023-02-03 11:15:39,50352.00,50224.00,51152.00,50848.00,49904.00
2023-02-03 11:15:46,50208.00,50240.00,51008.00,50832.00,49920.00
2023-02-03 11:15:53,50304.00,50384.00,50864.00,50848.00,49872.00
2023-02-03 11:16:01,50304.00,49952.00,51056.00,50864.00,49744.00
2023-02-03 11:16:08,50320.00,50016.00,50800.00,50880.00,49952.00
2023-02-03 11:16:15,50192.00,50176.00,50848.00,50912.00,49888.00
2023-02-03 11:16:23,50992.00,50192.00,51136.00,50880.00,49888.00
2023-02-03 11:16:30,50288.00,50256.00,50976.00,50944.00,49968.00
2023-02-03 11:16:37,50176.00,50384.00,50960.00,50800.00,49920.00
2023-02-03 11:16:45,50272.00,50240.00,51088.00,50880.00,50080.00
2023-02-03 11:16:52,50336.00,50240.00,50928.00,50896.00,49968.00
2023-02-03 11:16:59,50304.00,50080.00,50816.00,50864.00,49936.00
2023-02-03 11:17:06,50288.00,50160.00,50928.00,50816.00,49856.00
2023-02-03 11:17:14,50208.00,50304.00,51056.00,50912.00,49872.00
2023-02-03 11:17:21,50240.00,50288.00,51024.00,50864.00,49904.00
2023-02-03 11:17:28,50304.00,50224.00,51040.00,50832.00,49856.00
2023-02-03 11:17:36,50160.00,50224.00,50976.00,51136.00,49920.00
2023-02-03 11:17:43,50224.00,50272.00,51024.00,50832.00,50048.00
2023-02-03 11:17:50,50224.00,50192.00,50928.00,50832.00,50016.00
2023-02-03 11:17:58,50160.00,50160.00,50992.00,50832.00,49840.00
2023-02-03 11:18:05,50256.00,49936.00,50928.00,50848.00,49664.00
2023-02-03 11:18:12,50224.00,50240.00,50944.00,50880.00,49904.00
2023-02-03 11:18:20,50256.00,50096.00,51088.00,50816.00,49936.00
2023-02-03 11:18:27,50192.00,50304.00,50960.00,50896.00,49968.00
2023-02-03 11:18:34,50208.00,50304.00,51024.00,50864.00,49856.00
2023-02-03 11:18:42,50240.00,50224.00,50928.00,50896.00,49872.00
2023-02-03 11:18:49,50192.00,50224.00,50944.00,50928.00,49984.00
2023-02-03 11:18:56,50256.00,50288.00,50992.00,50928.00,49952.00
2023-02-03 11:19:04,50176.00,50576.00,50928.00,50832.00,49904.00
2023-02-03 11:19:11,50192.00,50272.00,50896.00,50864.00,49792.00
2023-02-03 11:19:18,50272.00,50304.00,51072.00,51008.00,49904.00
2023-02-03 11:19:25,50272.00,50336.00,50800.00,50880.00,49856.00
2023-02-03 11:19:33,50288.00,50288.00,50912.00,50816.00,49936.00
2023-02-03 11:19:40,50192.00,50464.00,50880.00,50848.00,49872.00
2023-02-03 11:19:47,50256.00,50272.00,50992.00,50880.00,49856.00
2023-02-03 11:19:55,50240.00,50144.00,50960.00,50864.00,49904.00
2023-02-03 11:20:02,50160.00,50256.00,51056.00,50928.00,49872.00
2023-02-03 11:20:09,50160.00,50288.00,51024.00,50864.00,49904.00
2023-02-03 11:20:17,50288.00,50112.00,50992.00,50976.00,49904.00
2023-02-03 11:20:24,50208.00,50272.00,50880.00,50864.00,49856.00
2023-02-03 11:20:31,50352.00,50400.00,50768.00,50880.00,50016.00
2023-02-03 11:20:39,50256.00,50304.00,50832.00,50960.00,49888.00
2023-02-03 11:20:46,50272.00,50272.00,50992.00,50992.00,49920.00
2023-02-03 11:20:53,50224.00,50176.00,50816.00,50864.00,49760.00
